이벤트 1,이벤트 2,이벤트 3,이벤트 4,이벤트 5,이벤트 6,이벤트 7,이벤트 8
조화의 왈츠,폭우 모의전,뜨거운 전설 · 대난투,대응 전략전,지맥의 격류,,,
영광의 꽃 대격전,펑펑! 재능 대결,리듬 공·메즈틀리편,무한 격투 대회,축성의 격류,,,
미카와 꿈놀이 축제,여행 일화·시의 장,출정! 시련의 땅,생태계 교란종 대소탕,티바트 광고왕,,,
봄볕의 복숭아 부적,영웅의 인증,대형 마물 조사록,福길만 걷자·새봄맞이!,수옥의 기묘한 곤충 싸움,소재의 격류,,
영혼의 두루마리,폭풍 모의전,동물 친구와 동행,모험가 시련·돌파편,지맥의 격류,,,
꿀벌레의 보물을 찾아서,알록달록한 사탕과 장미의 찬송가,투쟁의 항연,회상 속 수행 · 열정 편,희귀품 백화점,,,
색채의 흔적,가시와 왕관,티바트 기념사진,도도코 펑펑 모험기,지맥의 격류,반짝이는 무지개,,
여름! 악룡? 동화 나라!,우당탕탕 짹짹볼,그림 너머의 여행 사진·이슬 편,전도 원판·보조 정리,마스터리의 격류,,,
연합 군사 모의전,변화무쌍한 전장,힘찬 구상 모음집,지맥의 격류,,,,
아라타키 로큰롤 라이프 무지갯빛 투어,바람의 행방·전략 승부,"용 닮은 너, 내 동료가 돼라!",진동 수정 응용 연구,마스터리의 격류,,,
연금술 경영학,복슬복슬 성 대모험,둥글뒹글 집중포격,파이즈 효과 토론,지맥의 격류,,,
오색 연과 봄바람,멀리서 온 벗,기묘한 츄츄 탐방,승부의 땅,福길만 걷자,알록달록 연과 새로운 출발,모인 벗,마스터리의 격류
장미와 화승총,"우러러본 천추, 굽어살핀 만상",아라타키 반짝반짝 갑각 곤충 싸움 수행,깊은 결의의 왈츠,잃어버린 보물,희귀품 백화점,,
텔크시의 기묘한 모험,미니 버섯몬 판타지,이미지 식별 연구,잃어버린 도시 전선·수역,지맥의 격류,,,
흐르는 물로 빚은 시,도도코 쾅쾅 모험기,형광빛 수확,인생의 파봉과 파곡,흐르는 달빛의 선물,마스터리의 격류,,
장난감 전쟁!,박물지·물의 나라,사진기 연구-폰타인,굽이치는 칼날,,,,
여름! 낙원? 대비경!,거울 속 풍경,오지 탐사,모험가 시련·심화편,,,,
듀얼! 소환왕 결정전!,해탈한 자의 마지막 시련,신공귀부·수집의 장,파이즈의 가설,,,,
성대한 지혜의 축제,모래폭풍 속의 포성,회고의 수행길,혼합제 심화 테스트,,,,
윈드블룸의 숨결,버섯몬 기관 대전,진동 수정 연구 검증 실험,서쪽에서 풍겨오는 향기·북녘의 맛,,,,
선율이 흐르는 밤,장미가 다시 필 무렵,연무 전심,아라타키 위풍당당 곤충 대격전,선율이 흐르는 밤,,,
아키츠 숲 담력 시험,잃어버린 도시 전선·사막,들판 너머로의 추적,바람의 행방,,,,
영리한 버섯몬 대전,모험가 시련,그림 너머의 여행 사진·푸른 식물편,무상의 교향시·으뜸음화의 악장,희귀품 백화점,,,
잔 속에서 울리는 노래,다섯 가지 바람 조사,별을 찾는 여정,백 명의 봉기,[219],,,
동심 조각,파이즈의 논증,약재 심화 연구,잃어버린 보물,지맥의 격류,,,
한여름! 환상의 밤? 기상곡!,여름 바다와 시의 여정,환상이 남긴 소리,잔상 속 암투,회상 속 계행,무한동력 기계 화폭,,
"위험한 길, 수상한 발자취",아라타키 천하제일 초호화 북 축제,노심 제조기,깊은 곳의 진흙 기담,,,,
빛나는 자색 정원,[258],[259],[260],,[261],[262],
삼계 관문 제향,신공귀부,술잔의 작은 꿈,,,,,
화려히 수놓인 유년,,,,,,,
눈보라 속 그림자,,,,,,,
미로의 전사,,,,,,,
「달빛 속 광경」,,,,,,,
「여름! 섬? 모험!」,,,,,,,
「윈드블룸의 초대」,,,,,,,
「해등절」,,,,,,,
「백악과 흑룡」,,,,,,,
「돌아오지 않는 꺼진 별」,,,,,,,

